comp_name,comp_type,comp_size,region,city,Salary,contract,exper,gender
شركة القدرات الوطنية للخدمات التجارية,Private company,Medium class A,almintaqat alsharqia,AL KHUBAR...,5000,Full Time,0,F
شركه الرشد التعليميه المحدوده,Private company,Medium class B,Riyadh,AR RIYADH...,4000,Full Time,2,M
مدرسة جده العالميه لتعليم المنهج الامريكي فرع شركة الفراس ال,Private company,Medium class B,makkah,JEDDAH...,5500,Full Time,0,M
فوال طيبات خلوفه لتقديم الوجبات,Private company,Medium class C,makkah,JEDDAH...,4000,Full Time,0,M
شركة ايرادات للخدمات العقارية,Private company,Small class A,Riyadh,AR RIYADH...,7000,Full Time,2,M
شركة أمان التنمية المحدودة,Private company,Small class B,Asir,KHAMIS MU...,4000,Full Time,2,both
شركة دهونت ثيرمال سالوشانز للصناعة المحدودة,Private company,Medium class A,almintaqat alsharqia,AL JUBAIL...,5700,Full Time,2,M
شركة علي ناصر النصار وشركاه,Private company,Medium class B,almintaqat alsharqia,ABRAQIYAH...,5000,Full Time,2,both
شركة شاورما وصوص للوجبات السريعة شركة شخص واحد,Private company,Medium class A,makkah,JEDDAH...,4000,Full Time,0,both
شركة الصخور العربية للصناعة,Private company,Small class B,Riyadh,ABA ASLAB...,7000,Full Time,0,M
شركة الصخور العربية للصناعة,Private company,Small class B,Riyadh,ABA ASLAB...,7000,Full Time,0,M
شركة مجمع الرحمة الطبي,Private company,Medium class A,Riyadh,AR RIYADH...,5000,Full Time,2,both
مؤسسة جازي  للمقاولات,Private company,Small class B,Al-Baha,AL BAHA...,4000,Full Time,0,M
مؤسسة جازي  للمقاولات,Private company,Small class B,Al-Baha,AL BAHA...,4000,Full Time,0,M
شركة حديد السد للصناعة,Private company,Medium class B,Riyadh,AR RIYADH...,8000,Full Time,2,M
شركة تنمية للمقاولات شركة شخص واحد,Private company,Small class B,almadinat almunawara,AL MADINA...,4000,Full Time,0,both
مؤسسة عبدالله صباح فهد العنزي التجارية,Private company,Small class A,Riyadh,AL KHARJ...,4000,Full Time,0,F
شركه افراس للتجاره والمقاولات,Private company,Giant,Riyadh,AR RIYADH...,4000,Full Time,0,both
مؤسسة حديقة الطفل الأهلية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Remote work,0,both
مؤسسة رحلة الإنجاز للمقاولات,Private company,Small class B,makkah,MAKKAH AL...,4000,Full Time,2,M
شركة عروبة الشرق للتجارة شركة شخص واحد,Private company,Medium class A,Riyadh,AR RIYADH...,5000,Full Time,0,both
معهد الثقه الفائزة للتدريب,Private company,Small class B,makkah,JEDDAH...,4500,Full Time,0,M
شركة الاتحاد السريع,Private company,Medium class A,Riyadh,ABA AL KI...,5500,Full Time,2,both
شقق لجين الغربية للوحدات السكنية المفروشة,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,2,both
شركة قوافل الكمال للتجارة,Private company,Medium class B,makkah,MAKKAH AL...,6000,Full Time,7,both
المكتب التعاوني للدعوة والارشاد وتوعية الجاليات با,Private company,Small class B,Riyadh,AR RIYADH...,3000,Full Time,0,both
مصنع رواد الكفاح للصناعة,Private company,Small class B,almintaqat alsharqia,AL MUBARR...,4400,Full Time,0,M
مطعم نسيم الوردة الشامية,Private company,Small class B,almintaqat alsharqia,AD DAMMAM...,4000,Full Time,0,both
شركة أسامه بكر عبدالله بكر الزراعية,Private company,Medium class A,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة أسامه بكر عبدالله بكر الزراعية,Private company,Medium class A,makkah,JEDDAH...,4500,Full Time,0,both
شركة تيم واي للمقاولات  شركة شخص واحد,Private company,Small class A,Riyadh,AR RIYADH...,4000,Full Time,0,both
مقهى جواهر خلف بن شجاع العتيبي لتقديم المشروبات,Private company,Small class B,makkah,MAKKAH AL...,3200,Full Time,0,F
مصنع محمد عايض الوهبي للصناعة,Private company,Small class A,makkah,JEDDAH...,4408,Full Time,0,M
مؤسسة رياده الخير للنقل البري,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
مطعم ملعقة الطاهي لتقديم الوجبات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,F
مطعم ملعقة الطاهي لتقديم الوجبات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,F
مطعم ملعقة الطاهي لتقديم الوجبات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,F
مؤسسة كناري للانتاج الفني,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة سالم سليم دخيل الله اللهيبي واولاده للصرافه,Private company,Small class A,almadinat almunawara,AL MADINA...,4500,Full Time,0,M
شركة يوسف هدبان الحارثي للمحاماة والاستشارات القانونية,Private company,Small class A,Tabuk,TABUK...,4000,Full Time,2,M
فرع مصنع شركة الحمراني فوكس البترولية العربية السعودية المحد,Private company,Medium class B,almadinat almunawara,YANBU AS ...,14000,Full Time,4,both
فرع مصنع شركة الحمراني فوكس البترولية العربية السعودية المحد,Private company,Medium class B,almadinat almunawara,YANBU AS ...,5400,Full Time,2,M
مركز صانعة الاحلام الرياضي,Private company,Small class B,Al-Qassim,AL BADAI'...,4000,Full Time,0,F
شركة محمد عايض فواز الوهبي للتجارة,Private company,Small class B,makkah,JEDDAH...,4408,Full Time,0,F
مصنع محمد عايض الوهبي للصناعة,Private company,Small class A,makkah,JEDDAH...,4408,Full Time,0,F
شركة الامتياز للتقنيه المحدوده,Private company,Medium class A,Riyadh,AR RIYADH...,6000,Full Time,2,M
شركة ثقة الدولية العقارية,Private company,Small class B,Riyadh,AR RIYADH...,6000,Full Time,2,F
شركة خدمات اطلس الدوليه,Private company,Medium class C,Riyadh,ABA ASLAB...,6000,Full Time,0,both
شركة خدمات اطلس الدوليه,Private company,Medium class C,Riyadh,ABA ASLAB...,7000,Full Time,0,both
شركة ايرادات للخدمات العقارية,Private company,Small class A,Riyadh,AR RIYADH...,7000,Full Time,2,both
شركة حديد السد للصناعة,Private company,Medium class B,Riyadh,AR RIYADH...,5000,Full Time,2,M
شركة دار خبراء الشبكات,Private company,Small class B,Riyadh,AR RIYADH...,8000,Full Time,2,both
شقق لجين الغربية للوحدات السكنية المفروشة,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,2,both
مؤسسة هتان عبدالواحد عبدالرب قرشي السلمي التجارية,Private company,Small class A,makkah,JEDDAH...,4000,Full Time,0,both
مطعم ملعقة الطاهي لتقديم الوجبات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,F
فرع مصنع شركة الحمراني فوكس البترولية العربية السعودية المحد,Private company,Medium class B,almadinat almunawara,YANBU AS ...,5400,Full Time,2,M
شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,Private company,Great,Riyadh,AR RIYADH...,5000,Full Time,0,M
شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,Private company,Great,Riyadh,AR RIYADH...,5000,Full Time,0,M
شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,Private company,Great,Riyadh,AR RIYADH...,5000,Full Time,0,M
شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,Private company,Great,Riyadh,AR RIYADH...,8400,Full Time,0,M
شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,Private company,Great,Riyadh,AR RIYADH...,8400,Full Time,0,M
شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,Private company,Great,Riyadh,AR RIYADH...,8400,Full Time,0,M
شركة عايد دحيم الحمود وشركاه للتجارة والمقاولات,Private company,Great,Riyadh,AR RIYADH...,8400,Full Time,0,M
شركة إم اتش بي العربية السعودية التجارية,Private company,Small class B,makkah,JEDDAH...,6150,Full Time,0,F
مؤسسة سحاب الأفق للمقاولات,Private company,Small class B,Riyadh,AR RIYADH...,6521,Full Time,2,both
مجمع شفاء طيبة الطبي,Private company,Medium class A,almadinat almunawara,AL MADINA...,6000,Full Time,0,F
شركة اراده الاعمال للتجارة (شركة شخص واحد),Private company,Medium class A,Riyadh,AR RIYADH...,4400,Full Time,0,both
جمعية حماية الاسرة الخيرية,Private company,Small class B,Riyadh,AR RIYADH...,4500,Full Time,2,both
مكتب بيت دلتا للاستشارات الهندسية,Private company,Small class B,Riyadh,AR RIYADH...,7000,Full Time,0,M
شركة الدور المتقدمة مساهمة مقفلة,Private company,Small class B,almadinat almunawara,AL ULA...,4000,Full Time,2,M
شركة العلاج البديل الطبية,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,F
شركة جازان للطاقة والتنمية,Private company,Medium class B,Jazan,JIZAN...,5430,Full Time,2,M
شركه التموين العربي التجاريه المحدوده,Private company,Great,Riyadh,AR RIYADH...,4000,Full Time,0,both
مؤسسة مجدر لتجارة الجملة و التجزئة,Private company,Small class A,almadinat almunawara,AL 'AQUL...,6000,Full Time,2,both
فرع شركة الوقود المتحدة,Private company,Small class B,Riyadh,AR RIYADH...,5300,Full Time,2,both
مؤسسة رياده الخير للنقل البري,Private company,Small class B,Riyadh,ABA ASLAB...,4000,Full Time,0,both
مؤسسة شام الشاملة التجارية,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,M
مؤسسة الحلول الذاتية للمقاولات,Private company,Small class B,makkah,JEDDAH...,4500,Full Time,2,M
مؤسسة مركز التأهيل المتكامل الطبي,Private company,Small class A,makkah,AS SALAMA...,5000,Full Time,7,both
مؤسسة مركز التأهيل المتكامل الطبي,Private company,Small class A,makkah,AS SALAMA...,4500,Full Time,4,F
مؤسسة مركز التأهيل المتكامل الطبي,Private company,Small class A,makkah,AS SALAMA...,4500,Full Time,4,both
مؤسسة مركز التأهيل المتكامل  الطبي,Private company,Small class A,makkah,AL QUNFID...,4500,Full Time,7,both
مؤسسة مركز التأهيل المتكامل  الطبي,Private company,Small class A,makkah,AL QUNFID...,5000,Full Time,7,both
شركة السبع سنابل (شركة شخص واحد),Private company,Medium class A,makkah,JU'RANAH...,4000,Full Time,0,M
مؤسسة روائع الكون للتجارة,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,0,F
شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,Private company,Giant,Riyadh,ABA ASLAB...,15000,Full Time,7,both
شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,Private company,Giant,Riyadh,ABA ASLAB...,16000,Full Time,4,both
شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,Private company,Giant,Riyadh,ABA ASLAB...,10000,Full Time,2,both
شركة رفال للتكييف والتبريد (شركة شخص واحد),Private company,Small class A,Riyadh,AR RIYADH...,6000,Full Time,2,both
شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,Private company,Giant,Riyadh,ABA ASLAB...,15000,Full Time,7,both
شركة آشي وبشناق للمقاولات شركة مساهمة مقفلة,Private company,Great,makkah,JEDDAH...,4000,Full Time,2,M
شركه العرض المتقن للخدمات التجارية شركة مساهمة سعودية مقفلة,Private company,Giant,Riyadh,ABA ASLAB...,4500,Full Time,4,both
مقهى كالفن لتقديم المشروبات,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,0,F
شركة محمد بن سلمان الشيباني للمحاماة والاستشارات القانونية,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,4,both
مكتبة نوره سعد مطر البقمي للنسخ والتصوير,Private company,Small class B,makkah,AT TAIF...,4000,Full Time,0,F
مؤسسة افاق منيفة للتشغيل والصيانة,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,0,M
مؤسسة افاق منيفة للتشغيل والصيانة,Private company,Small class B,Riyadh,AR RIYADH...,4500,Full Time,0,M
شركة إم اتش بي العربية السعودية التجارية,Private company,Small class B,almadinat almunawara,AL MADINA...,7000,Full Time,2,M
مركز اللياقة الحقيقية الرياضي,Private company,Small class B,almintaqat alsharqia,DHAHRAN...,4500,Full Time,2,M
شركة نظارات الجميل التجارية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,4,both
شركة نظارات الجميل التجارية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,2,both
شركة إم اتش بي العربية السعودية التجارية,Private company,Small class B,almintaqat alsharqia,AD DAMMAM...,7000,Full Time,2,M
شركة ليلى المحدودة شركة شخص واحد,Private company,Medium class C,makkah,JEDDAH...,4000,Full Time,0,both
مؤسسة عادل عبدالقادر محمد الحميدان التجارية,Private company,Small class A,Riyadh,ABA ASLAB...,4000,Full Time,0,F
شركة ايوان المذاق للتجارة شركة شخص واحد,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
مؤسسة بشت كاش لتقديم الوجبات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,both
شركة سعيد بن سعد بن بخروش الغامدي للتجارة والمقاولات,Private company,Medium class B,Al-Baha,AL QARI...,4000,Full Time,0,M
شركة مصنع وسائط النقل للمنتجات المعدنية,Private company,Medium class C,Riyadh,AR RIYADH...,6000,Full Time,2,F
شركة التقنية المساندة للحاسب الآلي,Private company,Small class B,makkah,JEDDAH...,5000,Full Time,2,M
مؤسسة سعود علي عيضه العتيبي لادوات ومواد السلامة,Private company,Small class A,almintaqat alsharqia,AL KHUBAR...,6500,Full Time,0,M
مؤسسة القمة السمعية التجارية,Private company,Small class B,makkah,JEDDAH...,5000,Full Time,0,both
شركة اوما للاستشارات المهنية,Private company,Small class B,alhudud alshamalia,AR'AR...,6000,Full Time,0,both
مؤسسة عندليب للمقاولات العامة,Private company,Small class A,almadinat almunawara,AL MADINA...,3018,Full Time,0,F
مؤسسة حارث زيد عبدالله الشنبري للخضار والفواكه,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,0,M
شركة البحرينية العالمية للتجارة والمقاولات شركة شخص واحد,Private company,Medium class A,Al-Baha,AL BAHA...,5700,Full Time,2,M
مؤسسة دعائم التقنية للحاسب الالي,Private company,Small class B,Riyadh,AR RIYADH...,6000,Full Time,0,F
خالد آرت للصناعة,Private company,Small class B,almintaqat alsharqia,AD DAMMAM...,4500,Full Time,2,M
شركه الرأي للخدمات البيئيه شركة مساهمة سعودية مقفلة,Private company,Great,Riyadh,ABA ASLAB...,5000,Full Time,4,both
شركة عالم المحركات للتجارة (شركة شخص واحد),Private company,Medium class A,almintaqat alsharqia,AL KHUBAR...,4000,Full Time,2,M
شركه الرأي للخدمات البيئيه شركة مساهمة سعودية مقفلة,Private company,Great,Riyadh,ABA ASLAB...,4000,Full Time,2,F
شركة عالم المحركات للتجارة (شركة شخص واحد),Private company,Medium class A,almintaqat alsharqia,AL KHUBAR...,4000,Full Time,0,F
شركة عالم المحركات للتجارة (شركة شخص واحد),Private company,Medium class A,almintaqat alsharqia,AL KHUBAR...,4000,Full Time,2,M
شركة عالم المحركات للتجارة (شركة شخص واحد),Private company,Medium class A,almintaqat alsharqia,AL KHUBAR...,4000,Full Time,0,M
مؤسسة عبدالرحمن بن وليد الدليجان التجارية,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,2,M
مؤسسة عبدالرحمن بن وليد الدليجان التجارية,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,0,M
مجمع مطمئنه للطب النفسي,Private company,Medium class B,Al-Qassim,BURAYDAH...,4400,Full Time,0,both
شركة المسكن الراقي للتطوير العقاري,Private company,Small class B,almadinat almunawara,AL MADINA...,4000,Full Time,2,M
مؤسسة صدى العامه للاتصالات وتقنية المعلومات,Private company,Small class B,Riyadh,AR RIYADH...,4000,Full Time,2,M
شركة المسكن الراقي للتطوير العقاري,Private company,Small class B,almadinat almunawara,AL MADINA...,4000,Full Time,0,both
مؤسسة الأندلس للشقق الفندقية,Private company,Small class B,makkah,JEDDAH...,6000,Full Time,2,both
مقهى بووكا لتقديم المشروبات,Private company,Small class B,Al-Baha,AL BAHA...,4000,Full Time,0,F
شركة التشييد الشرقي للمقاولات شركة شخص واحد,Private company,Medium class B,makkah,JEDDAH...,4000,Full Time,2,both
شركة التشييد الشرقي للمقاولات شركة شخص واحد,Private company,Medium class B,makkah,JEDDAH...,35000,Full Time,4,M
شركة التشييد الشرقي للمقاولات شركة شخص واحد,Private company,Medium class B,makkah,JEDDAH...,5000,Full Time,2,both
شركة التشييد الشرقي للمقاولات شركة شخص واحد,Private company,Medium class B,makkah,JEDDAH...,4000,Full Time,2,both
مؤسسة خط الذكاء للمقاولات العامة,Private company,Medium class B,Riyadh,AR RIYADH...,4000,Full Time,2,F
شركة الراجح الحديثة للمقاولات المحدودة,Private company,Medium class C,Riyadh,AR RIYADH...,4782,Full Time,0,M
مؤسسة تركي نايف فرحان الشمري للاتصالات,Private company,Small class A,alhudud alshamalia,AR'AR...,3200,Full Time,4,both
شركة الصخور العربية للصناعة,Private company,Small class B,Riyadh,AR RIYADH...,7000,Full Time,0,both
شركة الصخور العربية للصناعة,Private company,Small class B,Riyadh,AR RIYADH...,5000,Full Time,0,both
مركز ياسمين محمد حسين الرويلي للعلاج الطبيعي,Private company,Small class A,alhudud alshamalia,TURAIF...,6000,Full Time,0,both
مؤسسة فاطمه سعيد صالح خلف للقرطاسية,Private company,Small class B,makkah,JEDDAH...,4000,Full Time,2,both
شركة أمان للامراض النفسية والعصبية,Private company,Small class B,makkah,JEDDAH...,30030,Full Time,0,both
شركة الاسنان الجميلة الطبي,Private company,Medium class A,Riyadh,AR RIYADH...,4500,Full Time,0,F
مكتب محمد طه عبدالقادر السقاف للاستشارات الهندسية,Private company,Small class B,makkah,MAKKAH AL...,15000,Full Time,12,both
شركة سما الشرق المحدودة,Private company,Medium class C,Riyadh,AR RIYADH...,4500,Full Time,2,both
شركة مجمع الرحمة الطبي,Private company,Medium class A,Riyadh,AR RIYADH...,7000,Full Time,4,both
شركة مجمع الرحمة الطبي,Private company,Medium class A,Riyadh,AR RIYADH...,5000,Full Time,2,F
